Слово,Количество,Имя файла
File name,First_text.txt,First_text.txt
тут,1,First_text.txt
может,1,First_text.txt
быть,1,First_text.txt
любой,1,First_text.txt
текст,2,First_text.txt
он,1,First_text.txt
будет,1,First_text.txt
заменен,1,First_text.txt
в,1,First_text.txt
ходе,1,First_text.txt
выполнения,1,First_text.txt
задания,1,First_text.txt
по,1,First_text.txt
программированию,1,First_text.txt
на,1,First_text.txt
python,2,First_text.txt
поэтому,1,First_text.txt
сюда,1,First_text.txt
можно,1,First_text.txt
ввести,1,First_text.txt
для,1,First_text.txt
